filename,MSE,PSNR,SSIM
000.jpg,0.0,inf,1.0
001.jpg,0.0,inf,1.0
002.jpg,0.0,inf,1.0
003.jpg,0.0,inf,1.0
004.jpg,0.0,inf,1.0
005.jpg,0.0,inf,1.0
006.jpg,0.0,inf,1.0
007.jpg,0.0,inf,1.0
008.jpg,0.0,inf,1.0
009.jpg,0.0,inf,1.0
010.jpg,0.0,inf,1.0
011.jpg,0.0,inf,1.0
012.jpg,0.0,inf,1.0
013.jpg,0.0,inf,1.0
014.jpg,0.0,inf,1.0
015.jpg,0.0,inf,1.0
016.jpg,0.0,inf,1.0
017.jpg,0.0,inf,1.0
018.jpg,0.0,inf,1.0
019.jpg,0.0,inf,1.0
020.jpg,0.0,inf,1.0
021.jpg,0.0,inf,1.0
022.jpg,0.0,inf,1.0
023.jpg,0.0,inf,1.0
024.jpg,0.0,inf,1.0
025.jpg,0.0,inf,1.0
026.jpg,0.0,inf,1.0
027.jpg,0.0,inf,1.0
028.jpg,0.0,inf,1.0
029.jpg,0.0,inf,1.0
030.jpg,0.0,inf,1.0
031.jpg,0.0,inf,1.0
032.jpg,0.0,inf,1.0
033.jpg,0.0,inf,1.0
034.jpg,0.0,inf,1.0
035.jpg,0.0,inf,1.0
036.jpg,0.0,inf,1.0
037.jpg,0.0,inf,1.0
038.jpg,0.0,inf,1.0
039.jpg,0.0,inf,1.0
040.jpg,0.0,inf,1.0
041.jpg,0.0,inf,1.0
042.jpg,0.0,inf,1.0
043.jpg,0.0,inf,1.0
044.jpg,0.0,inf,1.0
045.jpg,0.0,inf,1.0
046.jpg,0.0,inf,1.0
047.jpg,0.0,inf,1.0
048.jpg,0.0,inf,1.0
049.jpg,0.0,inf,1.0
050.jpg,0.0,inf,1.0
051.jpg,0.0,inf,1.0
052.jpg,0.0,inf,1.0
053.jpg,0.0,inf,1.0
054.jpg,0.0,inf,1.0
055.jpg,0.0,inf,1.0
056.jpg,0.0,inf,1.0
057.jpg,0.0,inf,1.0
058.jpg,0.0,inf,1.0
059.jpg,0.0,inf,1.0
060.jpg,0.0,inf,1.0
061.jpg,0.0,inf,1.0
062.jpg,0.0,inf,1.0
063.jpg,0.0,inf,1.0
064.jpg,0.0,inf,1.0
065.jpg,0.0,inf,1.0
066.jpg,0.0,inf,1.0
067.jpg,0.0,inf,1.0
068.jpg,0.0,inf,1.0
069.jpg,0.0,inf,1.0
070.jpg,0.0,inf,1.0
071.jpg,0.0,inf,1.0
072.jpg,0.0,inf,1.0
073.jpg,0.0,inf,1.0
074.jpg,0.0,inf,1.0
075.jpg,0.0,inf,1.0
076.jpg,0.0,inf,1.0
077.jpg,0.0,inf,1.0
078.jpg,0.0,inf,1.0
079.jpg,0.0,inf,1.0
080.jpg,0.0,inf,1.0
081.jpg,0.0,inf,1.0
082.jpg,0.0,inf,1.0
083.jpg,0.0,inf,1.0
084.jpg,0.0,inf,1.0
085.jpg,0.0,inf,1.0
086.jpg,0.0,inf,1.0
087.jpg,0.0,inf,1.0
088.jpg,0.0,inf,1.0
089.jpg,0.0,inf,1.0
090.jpg,0.0,inf,1.0
091.jpg,0.0,inf,1.0
092.jpg,0.0,inf,1.0
093.jpg,0.0,inf,1.0
094.jpg,0.0,inf,1.0
095.jpg,0.0,inf,1.0
096.jpg,0.0,inf,1.0
097.jpg,0.0,inf,1.0
098.jpg,0.0,inf,1.0
099.jpg,0.0,inf,1.0
100.jpg,0.0,inf,1.0
101.jpg,0.0,inf,1.0
102.jpg,0.0,inf,1.0
103.jpg,0.0,inf,1.0
104.jpg,0.0,inf,1.0
105.jpg,0.0,inf,1.0
106.jpg,0.0,inf,1.0
107.jpg,0.0,inf,1.0
108.jpg,0.0,inf,1.0
109.jpg,0.0,inf,1.0
110.jpg,0.0,inf,1.0
111.jpg,0.0,inf,1.0
112.jpg,0.0,inf,1.0
113.jpg,0.0,inf,1.0
114.jpg,0.0,inf,1.0
115.jpg,0.0,inf,1.0
116.jpg,0.0,inf,1.0
117.jpg,0.0,inf,1.0
118.jpg,0.0,inf,1.0
119.jpg,0.0,inf,1.0
120.jpg,0.0,inf,1.0
121.jpg,0.0,inf,1.0
122.jpg,0.0,inf,1.0
123.jpg,0.0,inf,1.0
124.jpg,0.0,inf,1.0
125.jpg,0.0,inf,1.0
126.jpg,0.0,inf,1.0
127.jpg,0.0,inf,1.0
128.jpg,0.0,inf,1.0
129.jpg,0.0,inf,1.0
130.jpg,0.0,inf,1.0
131.jpg,0.0,inf,1.0
132.jpg,0.0,inf,1.0
133.jpg,0.0,inf,1.0
134.jpg,0.0,inf,1.0
135.jpg,0.0,inf,1.0
136.jpg,0.0,inf,1.0
137.jpg,0.0,inf,1.0
138.jpg,0.0,inf,1.0
139.jpg,0.0,inf,1.0
140.jpg,0.0,inf,1.0
141.jpg,0.0,inf,1.0
142.jpg,0.0,inf,1.0
143.jpg,0.0,inf,1.0
144.jpg,0.0,inf,1.0
145.jpg,0.0,inf,1.0
146.jpg,0.0,inf,1.0
147.jpg,0.0,inf,1.0
148.jpg,0.0,inf,1.0
149.jpg,0.0,inf,1.0
150.jpg,0.0,inf,1.0
